DocNo, Date, Device, Customer,SDCId, ZRAInvoiceNo,CustRef/PO, TPIN, Capturer, Reference, Currency, Rate, Sub-Total, VAT, Discount, Total, Receipt, Balance, Cash, Card, Swish, Other, AccountTransaction, Notes
INM0074857,1/2/2026 9:54:34 AM,Desktop,RB - Shoprites (T/A Africa Supermarkets Ltd),SDC0010022038,INV0010022038/84941,,1001646043, , ,ZMW,0,23202.599609375,3712.419921875,0,26915.01953125,0,0,0,0,0,0,No,SIAO 25- 60208; Shoprite - MosiOaTunya; 55615; 1197690859.0
INM0074859,1/2/2026 9:54:34 AM,Desktop,RB - Shoprites (T/A Africa Supermarkets Ltd),SDC0010022038,INV0010022038/84943,,1001646043, , ,ZMW,0,16093.2197265625,2574.90991210938,0,18668.130859375,0,0,0,0,0,0,No,SIAO 25- 60212; Shoprite - Kabulonga; 39883; 1197675464.0
INM0074866,1/2/2026 9:54:34 AM,Desktop,RB - Shoprites (T/A Africa Supermarkets Ltd),SDC0010022038,INV0010022038/84950,,1001646043, , ,ZMW,0,401.820007324219,0,0,401.820007324219,0,0,0,0,0,0,No,SIAO 25- 60225; Shoprite - LQ Ibex Hill; G497; 1197670875.0
INM0074871,1/2/2026 9:54:34 AM,Desktop,RB - Sadaf Enterprise,SDC0010022038,INV0010022038/84955,,1001992371, , ,ZMW,0,392152,62744.3203125,0,454896.3125,0,0,0,0,0,0,No,SIAO 25- 60264; Non MT Customer; ; 
INM0074893,1/2/2026 9:54:34 AM,Desktop,RB - Shoprites (T/A Africa Supermarkets Ltd),SDC0010022038,INV0010022038/84977,,1001646043, , ,ZMW,0,47236.16015625,7557.77978515625,0,54793.94140625,0,0,0,0,0,0,No,SIAO 25- 60415; Shoprite - Cairo Road; 2808; 1197786585.0
INM0074900,1/2/2026 9:54:34 AM,Desktop,RB - Shoprites (T/A Africa Supermarkets Ltd),SDC0010022038,INV0010022038/84984,,1001646043, , ,ZMW,0,41640.9296875,6662.56005859375,0,48303.48828125,0,0,0,0,0,0,No,SIAO 25- 60422; Shoprite - Barotse Mall; 84799; 1197788017.0
INM0074902,1/2/2026 9:54:34 AM,Desktop,RB - Shoprites (T/A Africa Supermarkets Ltd),SDC0010022038,INV0010022038/84986,,1001646043, , ,ZMW,0,27348.890625,4375.830078125,0,31724.720703125,0,0,0,0,0,0,No,SIAO 25- 60426; Shoprite - Mansa; 2955; 1197788112.0
INM0074915,1/2/2026 9:54:34 AM,Desktop,RB - Mart One Supermarket Ltd,SDC0010022038,INV0010022038/84999,,2003779570, , ,ZMW,0,39773.8203125,6363.85009765625,0,46137.671875,0,0,0,0,0,0,No,SIAO 25- 60441; Non MT Customer; ; 
INM0074961,1/2/2026 4:34:01 PM,Desktop,UL - Shoprites (T/A Africa Supermarkets Ltd),SDC0010022038,INV0010022038/85043,,1001646043, , ,ZMW,1,849.150024414063,135.869995117188,0,985.02001953125,0,0,0,0,0,0,Yes,SIAO 25- 60564; KABWE; 2824; 1197668445
INM0074968,1/2/2026 4:34:01 PM,Desktop,UL - Shoprites (T/A Africa Supermarkets Ltd),SDC0010022038,INV0010022038/85050,,1001646043, , ,ZMW,1,2667,426.720001220703,0,3093.71997070313,0,0,0,0,0,0,Yes,SIAO 25- 60571; UNZA; 70768; 1197571771
INM0074991,1/3/2026 10:52:34 AM,Desktop,UL - Shoprites (T/A Africa Supermarkets Ltd),SDC0010022038,INV0010022038/85078,,1001646043, , ,ZMW,1,3148.89990234375,503.829986572266,0,3652.72998046875,0,0,0,0,0,0,Yes,SIAO 25- 60632; LIVINGSTONE; 2840; 1197902172
INM0075025,1/3/2026 1:32:21 PM,Desktop,UL - Shoprites (T/A Africa Supermarkets Ltd),SDC0010022038,INV0010022038/85112,,1001646043, , ,ZMW,1,3317.169921875,530.739990234375,0,3847.90991210938,0,0,0,0,0,0,No,SIAO 25- 60681; Shoprite - Solwezi City Mall; 64832; 1197894044
INM0074862,1/2/2026 9:54:34 AM,Desktop,RB - Shoprites (T/A Africa Supermarkets Ltd),SDC0010022038,INV0010022038/84946,,1001646043, , ,ZMW,0,3177.4599609375,508.390014648438,0,3685.85009765625,0,0,0,0,0,0,No,SIAO 25- 60218; Shoprite - Mini Ibex Hill; G606; 1197675668.0
INM0074874,1/2/2026 9:54:34 AM,Desktop,RB - Sadaf Enterprise,SDC0010022038,INV0010022038/84958,,1001992371, , ,ZMW,0,36587.1015625,5853.93994140625,0,42441.0390625,0,0,0,0,0,0,No,SIAO 25- 60277; Non MT Customer; ; 
INM0074897,1/2/2026 9:54:34 AM,Desktop,RB - Shoprites (T/A Africa Supermarkets Ltd),SDC0010022038,INV0010022038/84981,,1001646043, , ,ZMW,0,17088.1796875,2734.11010742188,0,19822.2890625,0,0,0,0,0,0,No,SIAO 25- 60419; Shoprite - Bauleni; 99302; 1197788401.0
INM0074898,1/2/2026 9:54:34 AM,Desktop,RB - Shoprites (T/A Africa Supermarkets Ltd),SDC0010022038,INV0010022038/84982,,1001646043, , ,ZMW,0,93387.2578125,14941.98046875,0,108329.2421875,0,0,0,0,0,0,No,SIAO 25- 60420; Shoprite - Kabwe; 2824; 1197786587.0
INM0074912,1/2/2026 9:54:34 AM,Desktop,RB - Shoprites (T/A Africa Supermarkets Ltd),SDC0010022038,INV0010022038/84996,,1001646043, , ,ZMW,0,50014.80859375,8002.3798828125,0,58017.19140625,0,0,0,0,0,0,No,SIAO 25- 60438; Shoprite - Munali; 39875; 1197786700.0
INM0074942,1/2/2026 3:52:04 PM,Desktop,Shoprites (T/A Africa Supermarkets Ltd),SDC0010022038,INV0010022038/85025,,1001646043, , ,ZMW,1,40801,6528.169921875,0,47329.171875,0,0,0,0,0,0,No,SIAO 25- 60059; Shoprite - Jacaranda; 31097; 1197518922
INM0074965,1/2/2026 4:34:01 PM,Desktop,UL - Shoprites (T/A Africa Supermarkets Ltd),SDC0010022038,INV0010022038/85047,,1001646043, , ,ZMW,1,3195,511.200012207031,0,3706.19995117188,0,0,0,0,0,0,Yes,SIAO 25- 60568; LIVINGSTONE; 2840; 1197570184
